"repository_url","age_days","forks","subscribers","stargazers","pull_requests","issues","comments","commits","contributors","followers"
https://api.github.com/repos/barik87/grible-adaptor,533,1,1,0,5,1,0,37,2,0
https://api.github.com/repos/barryvdh/laravel-debugbar,368,97,67,972,39,155,10,233,14,247
https://api.github.com/repos/barryvdh/laravel-vendor-cleanup,508,22,12,116,10,5,0,31,8,247
https://api.github.com/repos/barsch/seishub.core,782,4,8,6,5,4,1,740,4,14
https://api.github.com/repos/bartoszlenar/dotsm,302,1,2,1,7,1,0,95,2,3
https://api.github.com/repos/bashwork/pymodbus,1008,60,41,123,20,42,7,250,7,9
https://api.github.com/repos/bastianallgeier/kirbycms-panel,963,69,40,228,39,48,0,117,7,341
https://api.github.com/repos/basvandijk/levmar,1240,2,2,5,3,2,0,125,3,71
https://api.github.com/repos/baudehlo/Haraka,1278,152,74,1429,484,204,8,2134,36,74
https://api.github.com/repos/baudren/montepython_public,453,9,9,12,8,13,0,589,5,7
https://api.github.com/repos/bbajaj/relman_nag_tool,630,2,1,1,7,2,0,38,2,0
https://api.github.com/repos/bbatsov/prelude,1068,774,135,1674,236,450,71,869,74,804
https://api.github.com/repos/bbatsov/projectile,1135,128,54,673,201,237,67,711,78,804
https://api.github.com/repos/bbatsov/rails-style-guide,1079,508,184,2975,96,23,7,186,52,804
https://api.github.com/repos/bbatsov/rubocop,870,295,93,2942,731,601,248,2777,97,804
https://api.github.com/repos/bbatsov/ruby-style-guide,1092,1615,378,6440,226,134,15,456,99,804
https://api.github.com/repos/bbinkovitz/bbinkovitz.github.io,301,1,1,0,1,0,0,25,2,4
https://api.github.com/repos/bblimke/webmock,1767,209,23,1464,166,243,65,762,92,25
https://api.github.com/repos/bdjibril/togozik,383,0,1,0,1,0,0,18,2,0
https://api.github.com/repos/bdoin/GCompris-qt,213,24,13,22,38,5,0,600,8,8
https://api.github.com/repos/bdolmar/BRAVO.iOS.Challenge.05RotaryDial,174,6,1,1,4,0,0,8,1,5
